flag_id,check,severity,cbsa_code,cbsa_title,year,measure,detail,dispositioned
8b6638db9f,cross_source_income,BLOCKER,28660,"Killeen-Temple, TX",2016,bea_income_growth,"bea_income_growth -0.5% vs qcew_pay_growth +3.2% (centered diff -4.4%, z -2.5); verify boundary/source before publishing",False
d99c37c7fe,cross_source_income,BLOCKER,46140,"Tulsa, OK",2016,bea_income_growth,"bea_income_growth -12.1% vs qcew_pay_growth -1.6% (centered diff -11.2%, z -6.4); verify boundary/source before publishing",False
5af06566be,cross_source_income,BLOCKER,46140,"Tulsa, OK",2017,bea_income_growth,"bea_income_growth +7.1% vs qcew_pay_growth +2.3% (centered diff +4.0%, z +3.0); verify boundary/source before publishing",False
8d3ff64b7b,cross_source_income,BLOCKER,22220,"Fayetteville-Springdale-Rogers, AR",2018,bea_income_growth,"bea_income_growth +6.6% vs qcew_pay_growth +1.4% (centered diff +4.1%, z +3.2); verify boundary/source before publishing",False
fc010203eb,cross_source_income,BLOCKER,22220,"Fayetteville-Springdale-Rogers, AR",2019,bea_income_growth,"bea_income_growth -4.6% vs qcew_pay_growth +4.5% (centered diff -10.2%, z -6.1); verify boundary/source before publishing",False
9249ed8aac,cross_source_income,BLOCKER,12420,"Austin-Round Rock-San Marcos, TX",2020,bea_income_growth,"bea_income_growth +2.5% vs qcew_pay_growth +9.6% (centered diff -6.3%, z -2.5); verify boundary/source before publishing",False
920cf1badd,cross_source_income,BLOCKER,12540,"Bakersfield-Delano, CA",2020,bea_income_growth,"bea_income_growth +13.5% vs qcew_pay_growth +7.6% (centered diff +6.8%, z +2.6); verify boundary/source before publishing",False
c6aa432961,cross_source_income,BLOCKER,14460,"Boston-Cambridge-Newton, MA-NH",2020,bea_income_growth,"bea_income_growth +5.8% vs qcew_pay_growth +11.1% (centered diff -4.4%, z -1.7); verify boundary/source before publishing",False
c4a12963d8,cross_source_income,BLOCKER,14860,"Bridgeport-Stamford-Danbury, CT",2020,bea_income_growth,"bea_income_growth -0.1% vs qcew_pay_growth +8.6% (centered diff -7.8%, z -3.0); verify boundary/source before publishing",False
d0b34972bf,cross_source_income,BLOCKER,23420,"Fresno, CA",2020,bea_income_growth,"bea_income_growth +13.3% vs qcew_pay_growth +8.3% (centered diff +5.8%, z +2.3); verify boundary/source before publishing",False
7e12427afe,cross_source_income,BLOCKER,32580,"McAllen-Edinburg-Mission, TX",2020,bea_income_growth,"bea_income_growth +10.7% vs qcew_pay_growth +6.0% (centered diff +5.6%, z +2.2); verify boundary/source before publishing",False
1af5bfb77e,cross_source_income,BLOCKER,33700,"Modesto, CA",2020,bea_income_growth,"bea_income_growth +12.1% vs qcew_pay_growth +8.3% (centered diff +4.7%, z +1.8); verify boundary/source before publishing",False
f9acc33b6a,cross_source_income,BLOCKER,35620,"New York-Newark-Jersey City, NY-NJ",2020,bea_income_growth,"bea_income_growth +4.5% vs qcew_pay_growth +10.5% (centered diff -5.1%, z -2.0); verify boundary/source before publishing",False
828fffaed2,cross_source_income,BLOCKER,41860,"San Francisco-Oakland-Fremont, CA",2020,bea_income_growth,"bea_income_growth +8.9% vs qcew_pay_growth +15.8% (centered diff -6.0%, z -2.3); verify boundary/source before publishing",False
f1fe5f709e,cross_source_income,BLOCKER,41940,"San Jose-Sunnyvale-Santa Clara, CA",2020,bea_income_growth,"bea_income_growth +8.6% vs qcew_pay_growth +17.5% (centered diff -8.0%, z -3.1); verify boundary/source before publishing",False
